Time;Moisture;temperature
2014.03.20 19:44:03;428;7.0
2014.03.20 19:44:08;429;6.0
2014.03.20 19:44:13;430;7.0
2014.03.20 19:44:18;432;7.0
2014.03.20 19:44:24;431;6.0
2014.03.20 19:44:29;433;7.0
2014.03.20 19:44:34;432;7.0
2014.03.20 19:44:39;434;7.0
2014.03.20 19:44:44;435;7.0
2014.03.20 19:44:49;434;7.0
2014.03.20 19:44:54;432;7.0
2014.03.20 19:44:59;433;6.0
2014.03.20 19:45:04;432;6.0
2014.03.20 19:45:09;437;6.0
2014.03.20 19:45:14;436;7.0
2014.03.20 19:45:19;435;7.0
2014.03.20 19:45:24;434;7.0
2014.03.20 19:45:29;436;7.0
2014.03.20 19:45:34;435;7.0
2014.03.20 19:45:39;436;7.0
2014.03.20 19:45:44;438;7.0
2014.03.20 19:45:49;437;7.0
2014.03.20 19:45:54;436;7.0
2014.03.20 19:45:59;440;7.0
2014.03.20 19:46:04;439;7.0
2014.03.20 19:46:09;442;7.0
2014.03.20 19:46:14;441;7.0
2014.03.20 19:46:19;443;6.0
2014.03.20 19:46:24;437;7.0
2014.03.20 19:46:29;438;7.0
2014.03.20 19:46:34;435;6.0
2014.03.20 19:46:39;436;7.0
2014.03.20 19:46:44;439;7.0
2014.03.20 19:46:49;438;6.0
2014.03.20 19:46:54;436;7.0
2014.03.20 19:46:59;437;6.0
2014.03.20 19:47:04;438;7.0
2014.03.20 19:47:09;437;6.0
2014.03.20 19:47:14;436;6.0
2014.03.20 19:47:19;437;7.0
2014.03.20 19:47:24;438;7.0
2014.03.20 19:47:29;437;6.0
2014.03.20 19:47:34;438;7.0
2014.03.20 19:47:39;439;7.0
2014.03.20 19:47:44;436;7.0
2014.03.20 19:47:49;438;7.0
2014.03.20 19:47:54;437;7.0
2014.03.20 19:47:59;438;7.0
2014.03.20 19:48:04;436;7.0
2014.03.20 19:48:09;435;7.0
2014.03.20 19:48:14;434;7.0
2014.03.20 19:48:19;435;7.0
2014.03.20 19:48:24;434;7.0
2014.03.20 19:48:29;435;7.0
2014.03.20 19:48:34;434;7.0
2014.03.20 19:48:39;435;7.0
2014.03.20 19:48:44;436;7.0
2014.03.20 19:48:49;437;7.0
2014.03.20 19:48:54;436;7.0
2014.03.20 19:48:59;435;7.0
2014.03.20 19:49:04;436;7.0
2014.03.20 19:49:09;435;7.0
2014.03.20 19:49:14;434;7.0
2014.03.20 19:49:19;435;7.0
2014.03.20 19:49:24;436;7.0
2014.03.20 19:49:29;434;7.0
2014.03.20 19:49:34;433;7.0
2014.03.20 19:49:39;434;6.0
2014.03.20 19:49:44;432;7.0
2014.03.20 19:49:49;433;7.0
2014.03.20 19:49:54;432;7.0
2014.03.20 19:49:59;431;7.0
2014.03.20 19:50:04;432;7.0
2014.03.20 19:50:09;431;7.0
2014.03.20 19:50:14;432;7.0
2014.03.20 19:50:19;434;7.0
2014.03.20 19:50:24;435;7.0
2014.03.20 19:50:29;436;7.0
2014.03.20 19:50:34;438;7.0
2014.03.20 19:50:39;504;7.0
2014.03.20 19:50:44;549;7.0
2014.03.20 19:50:49;556;7.0
2014.03.20 19:50:54;553;7.0
2014.03.20 19:50:59;544;7.0
2014.03.20 19:51:04;542;7.0
2014.03.20 19:51:09;539;7.0
2014.03.20 19:51:14;534;7.0
2014.03.20 19:51:19;533;7.0
2014.03.20 19:51:24;534;7.0
2014.03.20 19:51:29;536;7.0
2014.03.20 19:51:34;537;7.0
2014.03.20 19:51:39;535;7.0
2014.03.20 19:51:44;536;7.0
2014.03.20 19:51:49;531;7.0
2014.03.20 19:51:54;527;7.0
2014.03.20 19:51:59;526;7.0
2014.03.20 19:52:04;531;7.0
2014.03.20 19:52:09;529;7.0
2014.03.20 19:52:14;527;7.0
2014.03.20 19:52:19;525;7.0
2014.03.20 19:52:24;522;7.0
2014.03.20 19:52:29;522;7.0
2014.03.20 19:52:34;524;7.0
2014.03.20 19:52:39;522;7.0
2014.03.20 19:52:44;524;7.0
2014.03.20 19:52:49;522;7.0
2014.03.20 19:52:54;523;7.0
2014.03.20 19:52:59;522;7.0
2014.03.20 19:53:04;525;7.0
2014.03.20 19:53:09;525;7.0
2014.03.20 19:53:14;525;7.0
2014.03.20 19:53:19;524;7.0
2014.03.20 19:53:24;525;7.0
2014.03.20 19:53:29;523;7.0
2014.03.20 19:53:34;528;7.0
2014.03.20 19:53:39;529;7.0
2014.03.20 19:53:44;526;7.0
2014.03.20 19:53:49;529;7.0
2014.03.20 19:53:54;525;7.0
2014.03.20 19:53:59;521;7.0
2014.03.20 19:54:04;520;7.0
2014.03.20 19:54:09;527;7.0
2014.03.20 19:54:14;524;7.0
2014.03.20 19:54:19;525;7.0
2014.03.20 19:54:24;522;7.0
2014.03.20 19:54:29;526;7.0
2014.03.20 19:54:34;524;7.0
2014.03.20 19:54:39;523;7.0
2014.03.20 19:54:44;522;7.0
2014.03.20 19:54:49;524;7.0
2014.03.20 19:54:55;523;7.0
2014.03.20 19:55:00;525;7.0
2014.03.20 19:55:05;524;7.0
2014.03.20 19:55:10;525;7.0
2014.03.20 19:55:15;536;7.0
2014.03.20 19:55:20;533;7.0
2014.03.20 19:55:25;530;7.0
